method,mean_rate_mbps,effective_throughput_mbps,handovers,handover_failures,hof_percent,outage_percent,cho_hit_percent,transmission_only_mean_ms,p50_latency_ms,p95_latency_ms,p99_9_latency_ms,exceed_100_percent,dropped_packets,user
Max-Elevation,0.0,0.0,0,0,0.0,100.0,0.0,24581995897.136475,24581995909.285465,46694992231.56267,49102851841.95761,100.0,1197023,0
Max-ServeTime,0.8949326615895943,0.8949326615895943,1,0,0.0,95.83333333333333,0.00625,24581995897.136475,24581996059.28547,46694992381.56267,49102851991.95761,100.0,1197023,0
Rate-Dwell,0.8949326615895943,0.8949326615895943,1,0,0.0,95.83333333333333,0.00625,24581995897.136475,24581996059.28547,46694992381.56267,49102851991.95761,100.0,1197023,0
NovaNet,0.4913208743455956,0.4913208743455956,1,0,0.0,97.70833333333333,0.0062499999999999405,24581995897.136475,24581996059.28547,46694992381.56267,49102851991.95761,100.0,1197023,0
